mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
treechop,HT's TreeChop,0.19.0,TreeChop-1.20.1-forge-0.19.0-fixed.jar,,https://github.com/hammertater/treechop,https://github.com/hammertater/treechop/issues
arcaneessenceblock,ArcaneEssenceBlock,1.0.0,Arcane_EssencePlus.jar,,https://mcreator.net,
betterdungeons,YUNG's Better Dungeons,1.20-Forge-4.0.4,YungsBetterDungeons-1.20-Forge-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons,https://github.com/yungnickyoung/YUNGs-Better-Dungeons/issues
kuma_api,KumaAPI,20.1.12,kuma-api-forge-20.1.12+1.20.1.jar,,https://mods.twelveiterations.com/mc/kuma,https://github.com/TwelveIterationMods/Kuma/issues
supermartijn642configlib,SuperMartijn642's Config Library,1.1.8,supermartijn642configlib-1.1.8-forge-mc1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-config-lib,https://github.com/SuperMartijn642/SuperMartijn642sConfigLib/issues
betterwitchhuts,YUNG's Better Witch Huts,1.20-Forge-3.0.3,YungsBetterWitchHuts-1.20-Forge-3.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-witch-huts,https://github.com/yungnickyoung/YUNGs-Better-Witch-Huts/issues
additionalentityattributes,Additional Entity Attributes,1.4.0.5+1.20.1,additionalentityattributes-forge-1.4.0.5+1.20.1.jar,,,
simplemagnets,Simple Magnets,1.1.12,simplemagnets-1.1.12-forge-mc1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/simple-magnets,https://github.com/SuperMartijn642/SimpleMagnets/issues
playeranimator,Player Animator,1.0.2-rc1+1.20,player-animation-lib-forge-1.0.2-rc1+1.20.jar,,,
aether,The Aether,1.20.1-1.5.2-neoforge,aether-1.20.1-1.5.2-neoforge.jar,,https://modrinth.com/mod/aether,https://github.com/The-Aether-Team/The-Aether/issues
prefab,Prefab,1.10.0.1,prefab-1.10.0.1.jar,,https://www.curseforge.com/minecraft/mc-mods/prefab,https://github.com/Brian-Wuest/MC-Prefab/issues
betteroceanmonuments,YUNG's Better Ocean Monuments,1.20-Forge-3.0.4,YungsBetterOceanMonuments-1.20-Forge-3.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-ocean-monuments,https://github.com/yungnickyoung/YUNGs-Better-Ocean-Monuments/issues
mcwwindows,Macaw's Windows,2.4.2,mcw-mcwwindows-2.4.2-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-windows,
immersive_aircraft,Immersive Aircraft,1.4.0+1.20.1,immersive_aircraft-1.4.0+1.20.1-forge.jar,,https://www.curseforge.com/minecraft/mc-mods/immersive-aircraft,https://github.com/Luke100000/ImmersiveAircraft/issues
apoli,Apoli,1.20.1-2.9.0.8,apoli-forge-1.20.1-2.9.0.8.jar,,,https://github.com/EdwinMindcraft/apoli/issues
sophisticatedcore,Sophisticated Core,1.2.117.1347,sophisticatedcore-1.20.1-1.2.117.1347.jar,,,https://github.com/P3pp3rF1y/SophisticatedCore/issues
bettercaves,YUNG's Better Caves,1.20.1-Forge-2.0.5,YungsBetterCaves-1.20.1-Forge-2.0.5.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-caves,https://github.com/yungnickyoung/YUNGs-Better-Caves/issues
prism,Prism,1.0.5,Prism-1.20.1-forge-1.0.5.jar,,https://anthonyhilyard.com/,
placebo,Placebo,8.6.3,Placebo-1.20.1-8.6.3.jar,,,
modernfix,ModernFix,5.25.1+mc1.20.1,modernfix-forge-5.25.1+mc1.20.1.jar,,https://modrinth.com/mod/modernfix,https://github.com/embeddedt/ModernFix/issues
citadel,Citadel,2.6.2,citadel-2.6.2-1.20.1.jar,,https://github.com/Alex-the-666/Citadel,https://github.com/Alex-the-666/Citadel/issues
alexsmobs,Alex's Mobs,1.22.9,alexsmobs-1.22.9.jar,,https://www.curseforge.com/minecraft/mc-mods/alexs-mobs,https://github.com/Alex-the-666/AlexsMobs/issues
